body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,transport_distance_interaction,energy_efficiency_heating,carbonemission
2,0,1,0,0,1,4,1,230,0,210,1,4,7,26,1,0,210,0,2238
1,0,3,1,2,2,4,1,114,2,9,0,3,9,38,5,0,18,0,1892
2,1,0,2,3,0,5,0,138,1,2472,3,1,14,47,6,1,0,3,2595
2,1,0,3,3,2,4,2,157,2,74,2,3,20,5,7,1,148,3,1074
1,0,3,0,0,0,0,1,266,3,8457,1,1,3,5,6,2,0,0,4743
2,1,3,1,3,1,4,2,144,0,658,1,1,22,18,9,1,658,3,1647
3,0,2,1,3,0,2,0,56,2,5363,2,4,9,11,19,1,0,3,1832
3,0,2,2,0,2,4,2,59,3,54,0,3,5,39,15,0,108,0,2322
2,1,0,0,3,1,4,0,200,0,1376,2,3,3,31,15,2,1376,6,2494
3,0,1,0,3,1,4,1,135,2,440,0,1,8,23,18,1,440,3,1178
0,0,3,2,3,1,4,0,146,1,1561,0,4,12,27,21,0,1561,0,1427
1,1,3,2,0,2,4,0,111,3,69,2,5,9,4,4,1,138,0,3226
3,0,0,3,0,2,4,1,114,2,92,1,3,18,27,4,2,184,0,1593
3,0,2,1,1,0,3,2,111,2,2893,1,6,13,16,10,1,0,1,1732
1,1,1,1,2,1,4,1,123,2,1989,3,6,13,23,8,0,1989,0,1743
2,0,3,1,1,1,4,0,225,3,692,3,6,9,24,15,0,692,0,2101
0,1,1,2,1,2,4,1,219,0,7,0,4,23,42,14,1,14,1,2609
2,0,1,0,3,1,4,1,104,2,948,1,6,1,6,22,2,948,6,1565
3,1,2,2,1,0,5,1,126,3,7622,2,2,6,37,9,1,0,1,5272
0,0,0,2,3,2,4,1,288,1,51,3,4,15,22,6,0,102,0,1220
0,1,2,3,1,0,1,1,282,2,2237,1,6,0,8,5,0,0,0,1300
1,0,1,1,3,1,4,0,69,2,1804,1,1,6,3,7,0,1804,0,1024
2,1,0,3,3,2,4,2,110,1,85,3,3,14,4,3,1,170,3,706
1,1,3,0,0,0,0,1,165,0,472,3,4,17,24,20,2,0,0,2582
2,1,2,0,0,0,0,2,62,3,5737,2,1,5,20,20,2,0,0,4284
1,0,1,1,1,2,4,2,94,2,88,2,6,17,0,3,1,176,1,807
3,0,2,0,1,1,4,1,259,0,558,1,4,4,50,23,1,558,1,1991
1,1,3,1,1,1,4,2,67,2,752,1,3,14,37,14,1,752,1,1817
1,1,1,0,3,2,4,0,130,2,71,3,2,10,15,10,0,142,0,1490
3,0,0,1,1,1,4,0,258,0,1028,3,2,13,44,4,2,1028,2,1561
1,0,2,2,3,1,4,2,189,0,1527,2,4,23,34,10,2,1527,6,2202
3,0,3,0,0,2,4,2,262,0,88,1,5,24,8,15,1,176,0,2024
0,0,1,0,2,2,4,0,157,0,73,2,4,1,42,22,0,146,0,1659
0,0,1,0,3,0,3,1,280,3,8320,3,5,9,0,4,1,0,3,3911
0,1,3,3,0,2,4,2,121,1,72,2,6,11,4,10,2,144,0,1204
3,0,2,1,0,2,4,1,174,3,9,1,2,1,40,15,2,18,0,2431
1,1,3,0,1,2,4,2,173,0,60,2,2,16,14,20,1,120,1,1640
3,1,2,3,2,2,4,2,199,0,13,2,5,17,6,15,0,26,0,1648
3,1,0,1,3,2,4,0,94,2,32,3,6,15,5,17,1,64,3,1002
3,0,1,1,0,2,4,0,64,0,49,3,1,19,47,16,2,98,0,1771
2,0,0,3,1,1,4,0,100,3,1351,0,1,20,24,5,2,1351,2,2028
0,0,3,2,0,1,4,1,240,3,1726,2,2,15,19,5,0,1726,0,2540
3,0,0,0,1,1,4,2,245,1,1021,2,7,14,48,10,0,1021,0,1386
0,0,1,0,0,2,4,2,270,2,62,3,5,22,21,11,1,124,0,1679
2,1,0,0,3,0,1,1,294,3,9488,3,5,16,20,18,2,0,6,3141
0,1,3,2,3,1,4,0,87,3,1037,1,4,0,11,24,0,1037,0,2627
3,1,1,1,3,0,1,0,209,1,9555,1,2,13,43,3,2,0,6,1188
3,1,1,3,1,0,0,0,124,1,9031,0,5,1,11,5,2,0,2,3174
2,0,3,2,2,1,4,2,276,0,1461,1,7,19,5,12,1,1461,2,2327
2,0,2,0,3,2,4,0,90,3,39,2,3,22,7,9,2,78,6,1822
1,0,2,1,2,0,0,2,136,1,5033,2,6,0,43,24,0,0,0,2665
3,1,2,0,1,1,4,2,246,0,1065,0,4,22,43,7,2,1065,2,2129
0,1,1,1,3,1,4,1,94,2,927,2,5,18,10,21,2,927,6,1425
2,1,3,2,1,0,2,0,253,0,2277,1,1,0,11,20,1,0,1,1690
1,0,0,2,2,2,4,0,200,2,97,2,7,13,18,0,1,194,2,1717
0,1,2,1,0,0,3,2,281,0,7272,1,2,4,38,5,0,0,0,4060
1,0,3,1,1,0,5,2,82,2,5260,0,3,14,18,17,0,0,0,3262
2,0,1,2,0,1,4,1,73,2,1750,0,1,9,30,12,2,1750,0,1674
1,1,3,0,2,0,2,1,246,0,2998,3,4,0,36,3,1,0,2,3135
3,1,1,1,2,0,3,2,98,2,9147,0,5,1,49,20,2,0,4,4465
2,1,1,3,1,1,4,0,256,2,1947,0,3,23,33,8,1,1947,1,1984
2,0,3,1,1,0,3,1,287,3,4885,1,1,21,21,3,2,0,2,3246
1,0,0,0,1,2,4,0,63,0,20,1,4,1,6,14,0,40,0,1351
1,1,3,1,0,2,4,1,158,1,23,0,1,24,33,2,0,46,0,1929
1,1,0,3,1,2,4,1,241,0,34,1,5,24,15,10,2,68,2,2719
1,0,3,3,0,2,4,0,176,0,59,1,1,11,41,19,2,118,0,2336
0,0,3,1,3,1,4,1,189,1,682,3,6,0,35,3,1,682,3,1270
1,0,3,1,2,2,4,1,214,1,10,1,6,20,12,24,2,20,4,1803
0,0,2,0,1,2,4,2,264,3,10,2,1,7,22,17,1,20,1,1816
